"lon","lat","Ruído","N..Estações","Distância.min","mun"
-38.605660637,-7.5950237654,-73.395575445,2,24705.1902673338,"CONCEIÇÃO"
-38.5840447048,-7.5276648328,-71.6025081266,5,20097.1668004951,"CONCEIÇÃO"
-38.6185746493,-7.5253634953,-73.0810849317,4,23826.6879635646,"CONCEIÇÃO"
-38.6695066421,-7.6187043988,-100,0,100,"SANTA INÊS"
-38.6463248199,-7.5856749648,-100,0,100,"CONCEIÇÃO"
-38.5393226724,-7.569559316,-70.1005433353,2,16905.833890809,"CONCEIÇÃO"
-38.5744179815,-7.4515401012,-70.3033021211,4,17305.1168747694,"CONCEIÇÃO"
-38.5564519331,-7.590604936,-71.4332109369,2,19709.24452051,"CONCEIÇÃO"
-38.5330763485,-7.6118793336,-71.1386270346,2,19052.0091949539,"SANTA INÊS"
-38.562538266,-7.5063853542,-70.382811937,2,17464.2535351496,"CONCEIÇÃO"
-38.6226536488,-7.4692065068,-100,0,100,"CONCEIÇÃO"
-38.6032789116,-7.6142521757,-100,0,100,"SANTA INÊS"
-38.5998448617,-7.6131615387,-100,0,100,"SANTA INÊS"
-38.6349913868,-7.5348260237,-100,0,100,"CONCEIÇÃO"
-38.5679923981,-7.6151965128,-100,0,100,"SANTA INÊS"
-38.6159180789,-7.5318719692,-100,0,100,"CONCEIÇÃO"
-38.548457819,-7.6041777202,-71.4842703631,2,19825.4452115366,"SANTA INÊS"
-38.6252601272,-7.5819378613,-100,0,100,"CONCEIÇÃO"
-38.5473777831,-7.5477030201,-70.0113105106,2,16733.0441231233,"CONCEIÇÃO"
-38.6296341237,-7.509612683,-100,0,100,"CONCEIÇÃO"
-38.5783361956,-7.4655548564,-71.0695492869,4,18901.0919581119,"CONCEIÇÃO"
-38.6403393935,-7.5380054295,-100,0,100,"CONCEIÇÃO"
-38.5911028526,-7.4593274835,-71.0562545417,2,18872.1838093604,"CONCEIÇÃO"
-37.67600049,-7.3649479304,-70.3910734942,20,17480.8725083972,"IMACULADA"
-37.7766091862,-7.3821489422,-70.485462319,14,17671.8715705905,"OLHO D ÁGUA"
